"Do not perform any automatic identification or check","Voer geen automatische identificatie of controle uit"
"Require a minimum age check","Een minimumleeftijdscontrole eisen"
"Require a regular identification, but do not check on minimum age","Vereis een reguliere identificatie, maar niet op minimumleeftijd controleren"
"Require a regular identification AND check on minimum age","Vereis een reguliere identificatie EN controleer op minimumleeftijd"
"Checkout identification text","Voor een aantal producten is wettelijk een minimumleeftijd vereist. We zijn verplicht om je leeftijd online te verifiëren. Je moet jouw identiteit bevestigen om het bestellen te kunnen voltooien. Klik op 'Volgende' om de identificatie met iDIN te starten."
"Checkout identification done","Voor een aantal producten is wettelijk een minimumleeftijd vereist. We zijn verplicht om je leeftijd online te verifiëren. Je hebt je identiteit al eerder geverifieerd. Klik op 'Volgende' om door te gaan."
"Could not create the Payment Request","Kon het betaalverzoek niet aanmaken"
"Identification","Identificatie"
"Account verification","Account verificatie"
"Your identity is not verified yet","Je identiteit is nog niet geverifieerd."
"Your identity has been verified","Je identiteit is geverifieerd."
"Your identity has been verified (details)","Je identiteit is geverifieerd op %1 om %2."
"Start identification procedure","Start identificatie procedure.."
"Identity info title","Identificeren met iDIN via je vertrouwde bank is veilig en snel"
"Identity info read more","Lees hier meer over iDIN"
"Product warning","Voor dit product is online leeftijdsverificatie vereist."
"What is this?","Wat is dit?"
"Next","Volgende"
